values,Centroid_Longitude,Centroid_Latitude,km,mpa_id
2.115999222,-179.9426136,-16.88403027,1.950732448,203
5.609999657,-179.7083448,-43.67774158,3.401853787,5656
2.170000076,-178.95,-17.35000011,2.917464695,7128
1.916999817,-178.7,-20.65000016,2.911710415,7125
-0.111000001,-178.6630245,71.2440807,142.9761853,1978
-0.111000001,-178.6630238,71.24408058,142.9761717,5348
3.180000305,-178.4928211,-30.38315046,3.430145721,4743
2.111000061,-178.4833,-18.45000062,2.791755692,7124
0.390001297,-178.3341766,28.43519426,4.748438085,1531
0.116999626,-178.215024,-51.74156994,3.724193974,5657
2.694001198,-177.4999969,-41.5833341,5.786228509,5258
3.21999979,-177.4088356,51.90861396,4.40073189,8546
3.21999979,-177.4088356,51.90861396,4.40073189,9191
0.281000137,-177.3692917,28.23123368,2.607615647,8826
0.326999664,-177.3319009,28.2515221,5.953679406,1353
3.179000378,-177.3176111,51.51842809,3.145598673,8610
2.951000214,-177.0342396,-30.18499026,2.692246512,5428
0.672000885,-176.6195387,0.809442243,2.068111111,340
0.672000885,-176.6183718,0.807567365,1.915892073,8815
0.76099968,-176.4787298,0.194342682,2.75000657,8738
0.76099968,-176.4779174,0.19601528,2.572356857,337
4.273000717,-176.24375,-44.7129165,2.844696775,5250
0.191999435,-175.8501159,27.85018378,3.687225851,339
1.87100029,-175.3483457,-21.07040898,4.226453538,439
1.934000015,-175.2,-21.16670006,4.709646098,7138
1.821001053,-175.1914186,-21.12570847,1.756203472,1371
1.821001053,-175.1763398,-21.16005183,5.118433388,441
2.027999878,-175.164152,-21.01781131,4.852838516,440
1.752000809,-175.1622433,-21.11726447,3.957708102,438
1.752000809,-175.1411665,-21.10781595,2.542488724,436
2.027999878,-175.1003835,-21.03459214,2.673249115,437
1.744998932,-175.0444746,-21.14073809,1.773757531,435
1.465999603,-174.9318,-21.35667009,3.421243776,6497
3.366999626,-174.9165,-43.41663333,5.71599199,5249
-0.028999329,-174.712415,26.74489516,4.086163952,3589
-0.028999329,-174.712415,26.74489516,4.086163952,5243
-0.028999329,-174.712415,26.74489516,4.086163952,5426
-0.050001144,-174.6307905,26.7515537,4.496732032,8588
-0.050001144,-174.6307905,26.75155363,4.496739751,4522
-0.050001144,-174.6307905,26.75155363,4.496739751,4523
1.888000488,-174.45,-19.7835216,1.257421776,7136
2.24200058,-174.1251,-3.597600002,3.04714506,5933
1.577001572,-174.03333,-18.70000009,1.276791319,7137
1.880000114,-173.1792402,60.372409,1.624838322,8563
3.220999718,-172.9980043,52.51145171,4.299544444,8684
2.176000595,-172.8,-13.50000155,4.719765554,6458
2.37100029,-172.7381397,-3.821535132,4.686580194,4395
2.37100029,-172.7381397,-3.821535131,4.686580116,5427
2.260999918,-172.6695631,60.31307856,3.198987743,7557
2.260999918,-172.6695631,60.31307856,3.198987743,7560
3.1060009,-172.2544463,-44.1967505,3.234555728,5429
2.25,-172.2167,-13.78330078,1.29702773,6420
1.318000793,-171.8667,-13.98330084,2.916836396,7080
1.318000793,-171.86666,-13.98306001,2.892702816,6504
2.182001114,-171.75,-13.81700002,5.308165455,5928
2.319999695,-171.6,-14.08300019,5.328460379,6847
2.090000153,-171.58333,-13.96666066,4.590130751,6134
2.284999847,-171.5123,-3.589500001,5.119197876,5932
2.316001892,-171.2,-9.433330088,2.926989987,7139
2.138000488,-170.8349578,-14.31494524,5.031238298,7571
1.936000824,-170.8069248,-14.29314535,1.652242003,7573
2.291000366,-170.7855712,-14.33628233,4.355332379,7566
2.291000366,-170.78333,-14.35,2.921657172,7145
2.291000366,-170.7678751,-14.36757015,2.692735368,830
2.291000366,-170.7645016,-14.36569865,3.103664604,8694
2.262998581,-170.7131462,-14.31708288,2.872998621,7567
2.308000565,-170.7121,-3.721200224,1.490150994,5934
2.262998581,-170.7,-14.31667001,2.921331955,7144
2.262998581,-170.6850198,-14.30246501,2.784161653,7574
2.284999847,-170.6634054,-14.24710221,5.976291303,7569
2.211999893,-170.6243096,-14.27572694,1.774315535,7565
2.211999893,-170.6063719,-14.25656027,4.389870364,7568
2.211999893,-170.6061805,-14.27594597,2.677611344,7572
